BOND TYPE                ATOMS                    R                        TS                       P                        TS-R                     % CHANGE                 P-TS                     % CHANGE                 
RY*                      C[9]                     1.90404                  -0.64742                 1.81131                  -0.53356                 -28.0225205353           0.44083                  32.1661023875            
RY*                      C[9]                     2.17923                  -0.64742                 2.50869                  -0.80875                 -37.1117321256           1.13821                  83.0519234137            
RY*                      C[9]                     2.42003                  -0.64742                 1.48445                  -1.04955                 -43.3692970748           0.11397                  8.31606444457            
RY*                      O[3]                     2.15991                  -0.64742                 0.82187                  -0.78943                 -36.5492080689           -0.54861                 -40.0305002627           
RY*                      O[3]                     1.17112                  -0.64742                 1.39981                  0.19936                  17.0230206981            0.02933                  2.14012608721            
RY*                      O[3]                     1.38597                  -0.64742                 1.89263                  -0.01549                 -1.1176288087            0.52215                  38.0997898546            
RY*                      O[3]                     1.55185                  -0.64742                 1.0933                   -0.18137                 -11.6873409157           -0.90285                 -45.2295669163           
RY*                      O[3]                     4.43203                  -0.64742                 1.25949                  -3.06155                 -69.0778266393           -0.73666                 -36.9040402775           
RY*                      O[3]                     1.29695                  -0.64742                 1.69552                  0.6992                   53.9110991172            -0.30063                 -15.060491446            
RY*                      O[3]                     1.28872                  -0.64742                 1.94169                  0.70743                  54.8940033522            -0.05446                 -2.72825188488           
RY*                      O[3]                     1.46775                  -0.64742                 1.38005                  0.5284                   36.0006813149            -0.6161                  -30.8644139969           
RY*                      O[3]                     1.70065                  -0.64742                 2.3726                   0.2955                   17.3757092876            0.37645                  18.8588031962            
RY*                      O[3]                     1.99666                  -0.64742                 1.75671                  -0.00051                 -0.0255426562359         -0.23944                 -11.9950905493           
RY*                      O[3]                     1.6294                   -0.64742                 2.09759                  0.36675                  22.5082852584            0.10144                  5.08178243118            
RY*                      O[3]                     1.90404                  -0.64742                 1.81131                  0.09211                  4.8376084536             -0.18484                 -9.25982516344           
RY*                      O[3]                     2.17923                  -0.64742                 2.50869                  -0.18308                 -8.40113251011           0.51254                  25.6764271222            
